,Song,Artist,lyrics
0,Ella Baila Sola,Eslabon Armado,"Compa, ¿qué le parece esa morra?
La que anda bailando sola me gusta pa' mí
Bella, ella sabe que está buena
Que todos andan mirándola cómo baila
Me acerco y le tiro todo un verbo
Tomamos tragos sin peros, solo tentación
Le dije: ""Voy a conquistar tu familia, que en unos días vas a ser mía""
Me dijo que estoy muy loco, pero le gusta
Que ningún vato como yo actúa

Y ahí te va, mija
Y pura Doble P, viejo
Así nomás, compa Pedro
Puro Eslabon Armado
Pa' las plebitas
¡Cha-chau!

No soy un vato que tiene varo
Pero hablando del corazón, te cumplo todo
Me agarró, pеgadito de su mano
Mi compa ni se la creyó, quе al pasar fui yo
Su cuerpo, juro por Dios, que era tan perfecta
Su cinturita como modelo
Sus ojos desde el principio me enamoraron
A ella le gusto y a mí me gusta"
1,These Words,Natasha Bedingfield,"My heart
These words are my own
(Uh, yeah, uh)

Threw some chords together
The combination: D-E-F
It's who I am, it's what I do (Yeah, uh)
And I was gonna lay it down for you
I try to focus my attention
But I feel so A-D-D
I need some help, some inspiration (But it's not coming easily)

(Whoa) Tryna find the magic
(Oh) Tryna write a classic (Whoa)
Don't you know, don't you know, don't you know? (Whoa, whoa)
Wastebin full of paper (Whoa)
Clever rhymes, see ya later

These words are my own
From my heart flow (Yeah, uh)
I love you, I love you, I love you, I love you
There's no other way
To better say
I love you, I love you, I love you (Ah)

Read some Byron, Shelley, and Keats
Recited it over a hip-hop beat
I'm having trouble saying what I mean (Uh)
With dead poets and drum machines
You know I had some studio time booked
But I couldn't find the killa hook
Now you've gone and raised the bar right up
Nothing I write is ever good enough

These words are my own (These words are my own)
From my heart flow (From my heart flow)
I love you, I love you, I love you, I love you
There's no other way (There's no other way)
To better say (Uh)
I love you, I love you, I love you (I love you, I love you)
These words are my own (These words are my own)
From my heart flow (Yeah)
(I love you) I love you, I love you, I love you, I love you (I love you)
There's no other way (There's no other way)
To better say
I love you, I love you, I love you

I'm gettin' off my stage
The curtains pull away
No hyperbole to hide behind
My naked soul exposes (Love you, love you)
Whoa, oh
Whoa, whoa

(Whoa) Tryna find the magic
(Whoa) Tryna write a classic (Uh, yeah)
Wastebin full of paper
Clever rhymes, see you later

These words are my own (These words are my own)
From my heart flow (Don't you know?)
I love you, I love you, I love you, I love you
There's no other way (There's no other way, to better say)
To better say (Yeah, uh, yeah)
I love you, I love you, I love you
These words are my own (These words are my own)
From my heart flow (They are from my heart, yeah)
I love you, I love you, I love you, I love you (I love you)
There's no other way (There's no better way)
To better say (Yeah, uh, yeah)
I love you, I love you, I love you

These words are my own
They're from my heart (My heart)
(Yeah, uh) I love you, I love you
That's all I got to say
Can't think of a better way
And that's all I've got to say (Yeah, uh, yeah)
I love you, is that okay?"
2,"Guantanamera (feat. Ms. Lauryn Hill, Celia Cruz & Jeni Fujita)",Wyclef Jean,none
3,Vanish Into You,Lady Gaga,"Saw your face and mine
In a picture by our bedside
It was cold in the summertime

High on a hill, you call
Two lovers regret their time
Once in a blue moon, I forget you
And once in your life, you'll be mine

Do you see me? Do you see me now?
I've been waiting for you, cryin' out
Do you see me? Do you see me now?

Saw your face and mine
In a picture by our bedside
It was cold in the summertime
We were happy just to be alive
Can I vanish into you?
Can I vanish into you? (Yah)

Into the night, we fly
Sirens blow by our heads (Yah)

Do you see me? Do you see me now?
I've been waiting for you, cryin' out
Do you see me? Do you see me now?

Saw your face and mine
In a picture by our bedside
It was cold in the summertime
We were happy just to be alive
Can I vanish into you?
Can I vanish into you?

(Yah)

Saw your face and mine
In a picture by, by, by, by my bedside
It was cold in the summertime
We were happy just to be alive
Can I, I vanish into you?
Can I vanish into you? (Can I? Can I?)
Like a ghost, I, oh, oh-oh-oh-oh, vanish into you
Can I vanish into you?

When I die, can I vanish into you?"
4,Volver,Carmen Ferre,none
5,She's A Lady,Tom Jones,"Well, she's all you'd ever want
She's the kind I'd like to flaunt and take to dinner
Well, she always knows her place
She's got style, she's got grace, she's a winner

She's a lady
Whoa, whoa, whoa, she's a lady
Talkin' about that little lady
And the lady is mine

Well, she's never in the way
Always something nice to say, oh, what a blessing
I can leave her on her own
Knowing she's okay alone, and there's no messing

She's a lady
Whoa, whoa, whoa, she's a lady
Talkin' about that little lady
And the lady is mine

Well, she never asks for very much, and I don't refuse her
Always treat her with respect, I never would abuse her
What she's got is hard to find, and I don't want to lose her
Help me build a mountain from my little pile of clay
Hey, hey, hey

Well, she knows what I'm about
She can take what I dish out, and that's not easy
Well, she knows me through and through
And she knows just what to do, and how to please me

She's a lady
Oh, whoa, whoa, she's a lady
Talkin' about that little lady
And the lady is mine

Yeah, yeah, she's a lady
Oh, whoa, whoa, she's a lady
Listen to me people, she's a lady
Yeah, yeah, yeah-yeah, she's a lady
Whoa, whoa, whoa, she's a lady
Talkin' about the little Lady
Whoa, whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa, whoa, whoa, she's a lady
Yeah, yeah, yeah, she's a lady
Whoa, whoa, whoa, she's a lady
I can't live without that little lady
Ooh-ooh, ooh, she's a lady"
6,Anxiety,Doechii,"Anxiety, keep on tryin' me
I feel it quietly
Tryin' to silence me, yeah
My anxiety, can't shake it off of me
Somebody's watchin' me
And my anxiety, yeah
Oh, oh, oh, oh, oh, oh

Solo, no mojo
I bounce back, no pogo
Unhappy, no homo
New brands, no logos
Money on my jugular, natural hustler
Think I need a smuggler up in Russia
You could be my butler, shine my cutla'
Shout out to Oyenda, that's the guzzler
Okay, next thing, my life is a wet dream
I call it a sex scene, the back is a nice tease
I tried to escape, my life is a X-rate
I'm sorry, a sex tape, you only get one take

Quiet on the set, please
Rolling ""Anxiety""
In three, two, one

Anxiety, keep on tryin' me
I feel it quietly
Tryin' to silence me, yeah
Anxiety, shake it off of me
Somebody's watchin' me
It's my anxiety, yeah (Brrah)

Anxiety, anxiet—, oh, I feel it tryin' (Oh)
Keep it tryin', keep it tryin'
Oh, I feel the silence (Oh)
Keep it quiet, keep it tired, oh, somebody's touchin' me (Ooh, la-da, woah)
Anxiety, anxiet—, oh, I feel anxiet— (Oh, oh, oh, oh)
My anxiety, anxiet—, oh, I feel it tryin' (It's my anxiety, can't let it conquer me)
Keep it tryin', keep it tryin', oh, I feel the silence (It's my anxiety, gotta shake it off of me)
Keep it quiet, keep it quiet, oh, somebody's watchin' me (It's my anxiety, can't let it caution me)
Anxiety, anxiet—, oh, I feel anxiety (It's my anxiety, gotta keep it off of me)
Anxiety, anxiet—, oh, I feel it tryin'
Keep it tryin', keep it tryin'
Oh, I feel the silence
Keep it quiet, keep it quiet
Oh, somebody's watching me
Anxiety, anxiet—, oh, I feel anxiety

Court order from Florid-er
What's in that clear blue water?
No limits, no borders
What's in that new world order?
Marco (Marco), Polo (Polo)
Negro run from popo (Popo)
That blue light and that rojo (Rojo)

And it's like
I get this tightness in my chest
Like an elephant is standing on me
And I just let it take over
Anxiety keeps on trying me
Anxiety keeps on tryin' me, yeah

Anxiety, anxiet—, oh, I feel it tryin' (Ooh)
Keep it tryin', keep it tryin' (Oh)
Oh, I feel the silence
Keep it quiet, keep it quiet
Oh, somebody's watchin' me (Oh, it keeps on trying me)
Anxiety, anxiet—, oh, I feel anxiet— (It keeps on trying, t-trying, trying, oh)
My anxiety, it's my anxiety, can't shake it off of me (It's my anxiety)
It's my anxiety, gotta keep it off of me (Can't shake it off of me)
It's my anxiety, can't shake it off of me (Oh, somebody's watchin' me)
It's my anxiety, gotta keep it off of me (Brrah)

Can't shake it off of me, shake, shake it off of me
It's my anxiety, gotta keep it off of me
Can't shake it off of me, shake, shake it off of me
It's my anxiety, gotta shake it off of me
Me
Me"
7,Abusadora,Wilfrido Vargas,"Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
La mujer que quise me dejó y se fue
La mujer que quise me dejó y se fue
Y ahora ella quisiera volver
Y ahora ella quisiera volver
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Cuando te fuiste no te dio pena
Cuando te fuiste no te dio pena
Y ahora sufres esa condena
Y ahora sufres esa condena
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
La mujer que quise me dejó y se fue
La mujer que quise me dejó y se fue
Y ahora ella quisiera volver
Y ahora ella quisiera volver
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Cuando te fuiste no te dio pena
Cuando te fuiste no te dio pena
Y ahora sufres esa condena
Y ahora sufres esa condena
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Ahora sí, te mata la pena
Ahora sí, te mata la pena
Mientras yo gozo a una mujer buena
Mientras yo gozo a una mujer buena
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Cuando me dejaste tú no me querías
Cuando me dejaste tú no me querías
Vivía sufriendo de noche y de día
Yo vivía sufriendo de noche y de día
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Ahora quieres que vuelva contigo
Ahora quieres que vuelva contigo
Pero es que yo no quiero ser tu amigo
Pero es que yo no quiero ser tu amigo
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Qué hiciste (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora (abusadora)
Abusadora"
8,O Pato,TRÍADA,none
9,Una Vida Buena,Kany García,"Me desperté cansada
Cansada de vivir en una vida que no me da nada
Tan triste, aburrida, deprimida, pero con más ganas
De hacer una maleta y mandar todo pa' la chingada

Y bailar
Hasta que me duelan los talone'
Volverme una rompecorazones
Y que to's se enamoren de mí

Yo quiero vivir una vida buena
Un traguito 'e ron de almuerzo y de cena
Si me lleva el diablo, que valga la pena
Así voy a vivir y así quiero morir
Ya no tengo marido, tengo una vida buena
Tеngo un par de jevo' y una que otra jеva
Y si me quedo pobre, pobre pero buena
Yo me quiero tanto

Quiero comprar lo que quiera sin mirar la cuenta
A mí ya nadie me espera y menos me gobierna
Ciao, que ya no te quiero aquí, al la'o
Te me saliste del corazón
Al fin no eras tan bueno
Tú era' como una mala canción
Que ya ni me la recuerdo

Y bailar
Y hacer to' lo que a mí se me antoje
Volverme una rompecorazones
Y que to's se enamoren de mí

Yo quiero vivir una vida buena
Un traguito 'e ron de almuerzo y de cena
Si me lleva el diablo, que valga la pena
Así voy a vivir y así quiero morir
Ya no tengo marido, tengo una vida buena
Tengo un par de jevo' y una que otra jeva
Y si me quedo pobre, pobre pero buena
Yo me quiero tanto
Y ya no tengo marido, tengo una vida buena
Tengo un par de jevo' y una que otra jeva
Y si me quedo pobre, pobre pero buena
Yo me quiero tanto

Ay, toda para mí"
